Consulting,Legal,Switches,MRO,Software,Filters,EngineeringServices,DistributionPartsandSupplies,TransmissionPartsandSupplies,ElectricUndergroundConstruction
0.013196712,0.012952348,0.002805549,0.017981921,0.010379324,0.001741838,0.01900675,0.000338494,0.019584866,0.008505364
0.016888975,0.006765034,0.001184677,0.016631956,0.023568053,0.002246041,0.05146465,0.002014,0.006350024,0.005806072
0.016157339,0.021222935,0.001335987,0.011030442,0.007633452,0.000101982,0.080155073,0.002051177,0.015641258,0.008314707
0.007135751,0.00408313,0.001784852,0.032635824,0.015671708,0.001469997,0.006505158,0.00019919,0.007957938,0.066451634
0.008727247,0.006167154,0.00070788,0.020954417,0.01060306,0.000822261,0.061224099,0.003431497,1.74876E-05,0.00944807
0.004467957,0,0.00152436,0.02054071,0.011189924,0.002101364,0.039248947,0,0,0.005734112
0.011393614,0.018877523,0.00012652,0.022041322,0.024950254,0.002860834,0.026612879,6.54872E-05,7.7515E-05,0.000146847
0.010649973,0.019874191,0.001994607,0.010413135,0.017645939,0.001085111,0.02875978,0.006335798,0.000715905,0.003318047
0.013032622,0.014689764,0.000654797,0.015820293,0.017705752,0.001891064,0.031560331,0,0.012696802,0.004473802
0.001825796,0,0.00473698,0.010586,0.007179809,0.000845486,0.017309823,0,0.016649668,0
0.017630378,0.016233373,0.00241851,0.023417025,0.012673734,0.001181333,0.051084662,0.00735348,0.001726619,0.000448881
0.012380196,0.014711417,0.003609897,0.013909927,0.018766362,0.001826269,0.029171982,0.00026153,0.007778811,0.001913921
0.021157438,0.026523615,0.006424123,0.013712994,0.019165851,0.00042829,0.076314745,0,0.007247186,0.021798918
0.005959358,0.008079491,0.005077054,0.02007484,0.012704345,0.001081194,0.051786532,0.00087677,0.010953089,0.010753038
0.016077603,2.92684E-05,0.00533069,0.011581263,0.019596859,0.000158439,0.047303232,0.00136926,0.000148914,0.004981656
0.015913754,0.002721697,0.001012171,0.025427654,0.01143458,0.001699677,0.086888588,2.41986E-06,0.000763258,0
0.021157438,0.026523615,0.006424123,0.032635824,0.024950254,0.002860834,0.086888588,0.00735348,0.019584866,0.066451634
0.001825796,0,0.00012652,0.010413135,0.007179809,0.000101982,0.006505158,0,0,0
0.01203717,0.010808184,0.002545541,0.017922483,0.015054313,0.001346324,0.044024827,0.001518694,0.006769334,0.009505942
