,ElectricCustomers,FTEEmployees,TotalAssets,EnergyOperatingRevenue,OperatingCapacityMW,ElectricServiceTerritorysqmiles,ElectricTransmissionLinesmiles,ElectricDistributionLinesmiles,Spend
AES,470000,25000,41830000,17164000,15264.4,,,,1175626077
AMRN,2400000,9097,22230000,5781000,16353.4,64000,7462,78713,1644202747
APS,1132296,6534,13242542,3293489,6491,34646,5932,28953,1201834193
BCH,1872891,5875,21913148,4764974,11727.9,,11722,35986,1876401183
CENG,,85,228022,59335,,,,,484882941.4
COND,3600000,14529,41209000,12188000,870.7,2010,1743,139307,2920665861
DTE,2100000,9900,26339000,8791000,12196.9,7600,,46042,2393227710
DUKE,7152311,27885,113856000,19624000,52400.5,104000,32200,289900,7603367738
EFH,1753000,5600,40970000,5636000,,,15473,103850,1743911007
EMX,836000,1809,4839257,3155327,225.4,,179,4885,125697776.9
FE,5983000,16495,50494000,15273000,21142.1,65000,24008,266757,3447414288
GEN,,2932,7419000,2637000,14922.3,,,,5628864956
KCPL,511800,,6703800,1579900,4932.3,,,,832955697.8
LCRA,43,,4984100,1261700,3137.4,,,,552876425.9
NTRG,,8792,34983000,8422000,26437.7,,,,2403942267
NU,3091265,8842,28302824,6273787,1193.8,,4512,64644,1218627584
NVE,1174000,2699,11984136,2979177,6580.9,,3775,0,589070580.1
PGE,5228140,20593,52449000,15040000,7600.4,,18100,141000,5254279512
PNM,739139,1909,5372583,1342403,2159.1,11257,4155,19617,40819337.62
PSEG,,2614,11323000,4873000,834.5,,,,3184461252
SCE,4950465,16515,44034000,11851000,5516.8,50000,,103000,3758569781
TVA,,12762,47334000,11220000,38156.3,80000,16000,,3297713686
